3_16_25,actual_values,3_32_25,18_16_25,18_32_25,19_16_25,19_32_25,20_16_25,20_32_25
338.78256,333.44444444444446,322.29517,338.91232,345.05066,338.95758,352.35696,316.0118,319.31592
354.4747,337.55555555555554,314.64166,347.29117,372.6613,342.44684,356.1229,317.59933,321.18777
382.2197,341.6666666666667,307.24207,354.30447,402.18845,349.13916,369.2794,310.44357,319.32132
431.97275,337.6666666666667,301.01352,364.06567,424.7468,352.49228,372.9045,308.4863,321.54892
523.0282,336.0,295.85794,375.2307,460.61453,359.28784,378.3948,301.84894,319.82553
691.403,330.0,291.66736,388.9589,492.4049,360.88715,379.73978,296.6797,321.64096
1041.4355,324.0,288.3191,403.14636,545.5725,366.23557,386.48212,293.4997,320.41867
1832.3788,318.0,285.69095,420.37778,627.8496,366.11716,388.2759,290.9137,321.66953
3323.9604,312.5,283.60217,437.82025,744.7254,368.43893,401.47632,289.24078,320.6867
5055.9976,307.0,281.92007,456.4,879.6741,371.48383,402.18738,287.81888,321.0691
6464.517,298.3333333333333,280.5807,473.08688,960.6178,384.3736,414.7436,286.29068,320.3416
7226.621,289.6666666666667,279.48236,492.44522,1053.4534,395.80133,421.47275,285.17856,320.73965
7425.1235,281.0,278.6018,516.45764,1396.4568,407.97076,447.30408,284.016,320.8276
7373.927,279.0,277.9172,548.7695,1645.1727,414.35712,461.9772,282.7632,321.30118
7134.755,277.0,277.38702,587.30597,1851.7065,433.63684,485.55927,281.45758,321.15094
6994.224,269.0,276.99402,652.5512,1992.7267,446.18048,470.87314,280.21725,322.08533
6985.252,266.75,276.69418,723.6485,2483.9858,458.60388,484.38974,281.05145,321.5282
7076.615,264.5,276.45752,794.2596,2903.9968,456.5192,410.97015,281.35382,321.60214
7144.565,262.25,276.27118,874.9219,3717.7722,463.58176,210.31795,280.22,320.24304
7173.268,260.0,276.12463,961.0446,4172.487,453.75952,200.69087,279.5937,320.24368
